"session","player","stage","step","round","time","timeup"
"room000060","687129946789033","game","bidder",1,1273,0
"room000060","524063757701167","game","bidder",1,4958,0
"room000060","524063757701167","game","bidder",2,2055,0
"room000060","687129946789033","game","bidder",2,7271,0
"room000060","687129946789033","game","bidder",3,1720,0
"room000060","524063757701167","game","bidder",3,4036,0
"room000060","524063757701167","game","bidder",4,2124,0
"room000060","687129946789033","game","bidder",4,5035,0
