"session","player","stage","step","round","time","timeup"
"room000034","617365488218661","game","bidder",1,3932,0
"room000034","617365488218661","game","responder",1,1073,0
"room000034","617365488218661","game","bidder",2,4695,0
"room000034","617365488218661","game","responder",2,3774,0
"room000034","617365488218661","game","bidder",3,4586,0
"room000034","617365488218661","game","responder",3,3528,0
"room000034","617365488218661","game","bidder",4,3535,0
"room000034","617365488218661","game","responder",4,2063,0
