"session","player","stage","step","round","time","timeup"
"room000042","281744487162259","game","bidder",1,3511,0
"room000042","56027835858672","game","bidder",1,5629,0
"room000042","56027835858672","game","bidder",2,1670,0
"room000042","281744487162259","game","bidder",2,30001,1
"room000042","281744487162259","game","bidder",3,30001,1
"room000042","56027835858672","game","bidder",3,32490,0
"room000042","56027835858672","game","bidder",4,2559,0
"room000042","281744487162259","game","bidder",4,29999,1
