"session","player","stage","step","round","time","timeup"
"room000052","145923463455762","game","bidder",1,2480,0
"room000052","481858405478983","game","bidder",1,3807,0
"room000052","481858405478983","game","bidder",2,3388,0
"room000052","145923463455762","game","bidder",2,5737,0
"room000052","145923463455762","game","bidder",3,1727,0
"room000052","481858405478983","game","bidder",3,1506,0
"room000052","481858405478983","game","bidder",4,30000,1
"room000052","145923463455762","game","bidder",4,31754,0
