"session","player","stage","step","round","time","timeup"
"room000031","664727428908484","game","bidder",1,4788,0
"room000031","664727428908484","game","responder",1,2522,0
"room000031","664727428908484","game","bidder",2,4430,0
"room000031","664727428908484","game","responder",2,4524,0
"room000031","664727428908484","game","bidder",3,1039,0
"room000031","664727428908484","game","responder",3,1778,0
"room000031","664727428908484","game","bidder",4,1494,0
"room000031","664727428908484","game","responder",4,3539,0
