"session","player","stage","step","round","time","timeup"
"room000123","613992878215228","game","bidder",1,2934,0
"room000123","741057886983934","game","bidder",1,2507,0
"room000123","613992878215228","game","responder",1,3423,0
"room000123","741057886983934","game","responder",1,1688,0
"room000123","741057886983934","game","bidder",2,1678,0
"room000123","613992878215228","game","bidder",2,4551,0
"room000123","613992878215228","game","responder",2,4563,0
"room000123","741057886983934","game","responder",2,1253,0
"room000123","613992878215228","game","bidder",3,2714,0
"room000123","741057886983934","game","bidder",3,5216,0
"room000123","613992878215228","game","responder",3,5730,0
"room000123","741057886983934","game","responder",3,1044,0
"room000123","741057886983934","game","bidder",4,2454,0
"room000123","613992878215228","game","bidder",4,5019,0
"room000123","613992878215228","game","responder",4,5027,0
"room000123","741057886983934","game","responder",4,1852,0
"room000123","613992878215228","game","bidder",5,1733,0
"room000123","741057886983934","game","bidder",5,9999,1
"room000123","613992878215228","game","responder",5,10381,0
"room000123","741057886983934","game","responder",5,1098,0
"room000123","741057886983934","game","bidder",6,1847,0
"room000123","613992878215228","game","bidder",6,5018,0
"room000123","613992878215228","game","responder",6,5023,0
"room000123","741057886983934","game","responder",6,1225,0
"room000123","613992878215228","game","bidder",7,1429,0
"room000123","741057886983934","game","bidder",7,10000,1
"room000123","613992878215228","game","responder",7,10396,0
"room000123","741057886983934","game","responder",7,4047,0
"room000123","741057886983934","game","bidder",8,1514,0
"room000123","613992878215228","game","bidder",8,4537,0
"room000123","613992878215228","game","responder",8,4544,0
"room000123","741057886983934","game","responder",8,1697,0
