"session","player","stage","step","round","time","timeup"
"room000035","900911427828356","game","bidder",1,3531,0
"room000035","900911427828356","game","responder",1,4660,0
"room000035","900911427828356","game","bidder",2,3984,0
"room000035","900911427828356","game","responder",2,4310,0
"room000035","900911427828356","game","bidder",3,1526,0
"room000035","900911427828356","game","responder",3,4975,0
"room000035","900911427828356","game","bidder",4,1410,0
"room000035","900911427828356","game","responder",4,1238,0
