"session","player","stage","step","round","time","timeup"
"room000059","788958426678704","game","bidder",1,1498,0
"room000059","14272825128016","game","bidder",1,4138,0
"room000059","14272825128016","game","bidder",2,1698,0
"room000059","788958426678704","game","bidder",2,3249,0
"room000059","788958426678704","game","bidder",3,1116,0
"room000059","14272825128016","game","bidder",3,3915,0
"room000059","14272825128016","game","bidder",4,1933,0
"room000059","788958426678704","game","bidder",4,5140,0
